stationid	new_part	shahrestan	subbasin_i	Longitude	Latitude	new_elevation
40768	2	431	349	48.534407	34.868805	1738
40769	2	83	356	49.783673	34.071626	1699
40770	1	122	344	50.85464	34.774548	877
40771	2	231	97	47.987339	34.501902	1464
40772	2	68	22	47.785911	35.179908	1901
40773	2	75	87	48.004113	34.042341	1858
40774	2	73	140	48.757704	33.914756	1636
40775	2	429	101	48.856602	34.248565	1777
40776	2	79	76	48.244984	33.824143	1562
40777	2	42	365	51.165591	35.409564	992
40778	1	270	517	58.683715	34.373253	1077
40779	2	221	84	46.467843	34.123883	1339
40780	2	165	61	46.397227	33.588413	1314
40781	2	172	63	46.176145	33.114537	147
40782	2	74	74	48.29542	33.433064	1153
40783	2	72	143	49.703207	33.407945	2026
40785	1	174	364	51.480146	33.96669	953
40786	2	81	72	47.718598	33.154693	702
40787	2	187	380	50.406502	32.987672	2330
40788	1	0	380	53.195381	36.639579	2
40789	1	182	504	55.081245	33.76959	848
40790	1	11	461	55.558343	33.01137	1243
40791	1	278	460	56.95085	33.603346	706
40792	1	279	511	58.183453	34.030579	1293
40793	1	280	570	59.176057	33.740165	1445
40794	2	295	136	48.433012	32.253213	76
40795	2	295	136	48.38333333	32.4	153
40796	2	169	64	47.281052	32.680519	201
40797	2	341	384	50.125213	32.456887	2333
40798	2	339	131	50.839605	32.292711	2027
40799	1	175	543	52.375632	33.354903	1258
40800	1	176	369	51.706614	32.517936	1550
40801	1	193	548	53.078859	32.851098	1582
40802	1	176	369	51.862932	32.744757	1536
40803	1	176	369	51.833731	32.514617	1544
40804	1	11	549	53.641829	32.444791	1145
40805	2	399	24	49.802297	36.707588	1573
40806	1	248	605	60.564692	35.294184	938
40807	2	256	596	59.068511	37.46623	511
40809	1	272	472	59.283897	32.890678	1512
40810	2	296	67	48.010051	31.707447	9
40811	2	287	104	48.744082	31.344305	14
40812	2	304	106	49.240978	31.999913	327
40813	2	298	145	49.596193	31.272999	149
40814	2	343	120	50.833454	31.503569	1602
40815	1	186	386	51.809885	31.981593	1857
40816	1	14	421	54.098821	31.310262	2017
40818	1	364	418	52.616067	31.198096	2040
40820	1	12	561	55.421255	31.628508	991
40821	1	19	550	54.289014	31.903664	1226
40825	1	261	605	59.839888	35.656164	1467
40827	1	281	583	60.03772	31.541597	1189
40828	1	367	418	52.675669	30.869393	2303
40829	1	135	586	61.544788	31.084347	480
40830	2	297	144	49.54722222	30.83472222	17
40831	2	282	167	48.214266	30.377183	6
40832	2	291	144	49.158985	30.545077	8
40833	2	284	144	49.687322	30.742842	14
40834	2	292	150	50.217244	30.605397	308
40835	2	60	154	50.819857	30.346535	727
40836	2	55	118	51.554581	30.697936	1813
40837	1	253	566	60.158209	34.584624	995
40838	2	57	158	50.586882	30.788952	791
40839	1	199	555	55.257208	30.877869	1411
40840	1	15	423	54.211358	30.463381	1547
40841	1	216	559	56.964691	30.251768	1747
40842	2	168	78	47.407456	33.137192	619
40843	1	216	473	57.681103	30.412072	497
40844	2	387	407	52.465491	30.183571	1644
40845	2	325	262	50.315532	29.265097	6
40846	2	331	168	50.167219	30.049774	7
40847	2	378	407	52.704151	29.777698	1600
40848	2	378	412	52.602861	29.544229	1485
40849	1	211	427	55.107422	30.145812	1866
40851	1	210	435	55.661154	29.470687	1734
40852	1	201	558	56.823556	29.510442	2891
40853	1	200	443	56.579954	29.238785	2287
40854	1	202	476	58.352304	29.080211	1082
40855	1	371	405	53.156488	30.591031	2252
40856	1	136	585	60.900559	29.472012	1371
40857	2	202	180	50.820819	28.90363	8
40858	2	325	180	50.819422	28.962481	6
40859	2	380	209	53.71948	28.898916	1309
40861	2	383	172	51.665062	29.607241	837
40862	2	373	250	54.296186	28.790229	1094
40863	1	157	240	55.910617	28.311344	921
40864	2	379	175	52.116489	28.813274	788
40866	1	203	438	57.811804	28.591291	627
40869	1	390	398	54.351903	29.186789	1628
40870	1	133	589	61.184792	28.226341	1428
40872	2	0	186	51.949601	27.838109	6
40873	1	385	236	54.37478	27.669942	800
40874	1	144	593	61.67293	27.142782	1269
40875	1	155	271	56.373263	27.21547	8
40876	1	162	277	57.088485	27.107857	23
40877	1	217	436	57.712852	27.993926	498
40878	1	138	594	62.318331	27.389768	1184
40879	1	132	452	60.718089	27.229797	597
40880	1	161	267	55.891128	26.751438	7
40881	1	154	261	53.348687	26.809269	24
40882	1	154	264	53.960322	26.531653	26
40883	1	154	261	54.823375	26.529374	15
40884	1	0	266	55.28333333	26.23333333	0
40885	1	134	455	59.449683	27.483431	385
40886	2	425	100	48.428458	34.55081	1776
40887	1	122	359	50.46879	34.484375	1396
40889	1	151	302	54.551173	25.8982	5
40890	1	151	295	55.013547	25.874163	1
40891	1	93	360	50.481037	33.90179	1653
40893	1	150	302	57.769624	25.637468	0
40895	1	146	299	60.253641	26.253165	505
40897	1	143	300	60.37472222	25.43638889	15
40898	1	150	302	60.650884	25.280683	15
51041	2	265	597	59.7	36.92	2000
51046	1	237	535	56.88	36.86	1119
51057	2	254	533	58.12	36.72	1650
51065	1	251	532	57.62	36.63	1086
51075	1	268	530	58.53	36.55	1511
51080	2	266	602	59.5	36.5	1008
51116	2	266	602	59.62	36.27	976
51120	1	259	527	57.67	36.22	990
